@relation 'completeData-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,12-14,16,18,20,22,24-68,70-71-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute mway_dist numeric
@attribute police_dis numeric
@attribute income numeric
@attribute density numeric
@attribute age numeric
@attribute unp_rate numeric
@attribute com_dens numeric
@attribute n_freq_attack {0,1}

@data
195.35344,898.569719,52,8.0558,39,4,9,1
190.831787,568.679321,56,0,35,2,9,1
766.671635,1432.302696,52,4.625,34,9,18,1
192.282794,1143.736479,36,11.5766,50,15,9,1
719.79877,1371.942724,58,20.0926,29,8,18,1
601.598398,1245.62094,40,33.1587,28,12,9,1
307.263969,861.071471,52,8.0558,42,6,9,1
228.669386,875.52212,52,8.0558,42,6,9,1
382.420058,1000.022511,50,16.7787,26,7,9,1
479.892094,1367.563598,60,0.1181,27,8,9,1
344.029237,687.161656,54,15.2558,25,11,9,1
383.844142,1026.279016,60,0.0677,41,8,9,1
321.959018,711.724386,38,1.0001,45,14,9,1
595.160921,903.655574,44,27.1257,33,13,18,1
724.470391,1292.056182,50,0.0039,45,6,9,1
410.482157,702.12904,38,1.0001,50,18,9,1
679.196344,976.782633,52,26.8861,28,12,9,1
418.698331,861.365771,50,33.9786,27,11,9,1
307.263969,861.071471,52,8.0558,42,6,9,1
521.551411,1417.097396,44,5.9173,34,13,9,1
640.774376,932.495412,50,0.1558,35,5,9,1
521.551411,1417.097396,44,5.9173,34,13,9,1
589.259456,675.142108,42,9.5645,33,9,9,1
676.242304,851.81637,60,4.0355,30,7,18,1
573.972532,694.236804,36,0.4369,42,7,28,1
676.242304,851.81637,60,4.0355,30,7,18,1
691.513181,928.835183,34,30.7548,41,11,18,1
488.686225,516.169356,48,14.9472,34,9,9,1
488.686225,516.169356,48,14.9472,34,9,9,1
573.972532,694.236804,36,0.4369,42,7,28,1
521.551411,1417.097396,44,5.9173,34,13,9,1
471.569387,735.955971,40,7.6254,42,12,28,1
623.767591,1004.549341,34,23.572,41,11,18,1
480.906574,805.090434,36,0,52,17,9,1
676.242304,851.81637,60,4.0355,30,7,18,1
539.37194,1003.951322,52,4.3246,38,8,9,1
3.128902,824.805083,58,0.5846,44,3,9,1
480.906574,805.090434,36,0,52,17,9,1
855.035405,1093.593395,46,15.3719,29,10,9,1
676.242304,851.81637,60,4.0355,30,7,18,1
709.070272,1378.57943,52,33.1587,34,9,18,1
779.912056,1043.974683,26,1.7239,54,18,9,1
754.870555,1071.96336,44,28.4848,27,9,18,1
754.870555,1071.96336,44,28.4848,27,9,18,1
779.912056,1043.974683,26,1.7239,54,18,9,1
701.611791,995.959552,52,26.8861,28,12,9,1
497.083922,601.36354,34,19.1656,53,13,9,1
620.809464,641.037563,36,1.0968,25,12,18,1
595.160921,903.655574,44,27.1257,33,13,18,1
595.160921,903.655574,44,27.1257,33,13,18,1
529.634092,787.55407,38,28.8444,25,10,9,1
534.431735,1040.164948,60,28.1704,38,2,9,1
532.578869,867.187744,50,24.8047,55,13,18,1
724.470391,1292.056182,50,0.0039,45,6,9,1
550.331568,853.58382,44,17.0117,30,13,18,1
476.392265,1087.990611,38,35.1178,37,10,9,1
587.162717,671.547121,36,1.0968,25,12,18,1
690.272278,1071.323868,36,5.0162,31,20,9,1
690.272278,1071.323868,36,5.0162,31,20,9,1
676.242304,851.81637,60,4.0355,30,7,18,1
690.272278,1071.323868,36,5.0162,31,20,9,1
602.455118,860.686716,50,21.2956,45,6,9,1
550.331568,853.58382,44,17.0117,30,13,18,1
464.38153,542.979667,48,6.317,26,11,9,1
724.470391,1292.056182,50,0.0039,45,6,9,1
573.513875,1378.473723,68,0,40,4,9,1
573.513875,1378.473723,68,0,40,4,9,1
676.242304,851.81637,60,4.0355,30,7,18,1
455.035152,930.656398,50,33.0763,26,7,9,1
640.774376,932.495412,50,0.1558,35,5,9,1
595.160921,903.655574,44,27.1257,33,13,18,1
691.673231,857.743981,38,25.6829,37,10,9,1
676.242304,851.81637,60,4.0355,30,7,18,1
808.486545,1379.217399,52,1.5568,34,9,18,1
550.331568,853.58382,44,17.0117,30,13,18,1
924.801579,1209.853575,50,23.8901,35,7,18,1
640.774376,932.495412,50,0.1558,35,5,9,1
14.259697,852.822067,56,8.0558,33,10,9,1
646.95992,1101.61952,58,0,37,4,9,1
724.470391,1292.056182,50,0.0039,45,6,9,1
776.708369,1073.126316,22,5.0162,30,22,9,1
924.801579,1209.853575,50,23.8901,35,7,18,1
452.658926,979.390929,54,28.4366,32,7,18,1
630.124694,1287.586266,46,19.8349,46,15,9,1
405.830976,550.797358,52,10.6231,34,9,9,0
2668.503286,732.929196,26,16.5529,51,20,9,0
1232.487688,957.410368,28,6.8522,26,18,9,0
1262.262547,851.958984,34,20.9547,52,14,9,0
1978.321417,504.032029,46,13.918,45,7,18,0
2065.903205,353.281293,40,3.6254,47,13,18,0
2338.197736,698.305732,64,14.7613,44,2,37,0
1104.053129,503.767032,48,11.423,54,12,28,0
1141.367986,362.394695,48,18.4505,50,12,18,0
2122.833185,152.337891,70,0,55,3,18,0
707.474604,694.281536,42,6.5668,28,12,9,0
2218.506296,107.090371,54,12.9924,53,9,28,0
