address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,event_date,detec_date,gross_loss,indirect_loss,net_loss,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Rua Tomas Da Fonseca TR a Lisbon,BANCO BPI S.A.,BPI17,-9.17093,38.7561,Lumiar,12,195.353440423,898.56971854,52,8.0558,39,4,9,2015-06-15 19:00:00,2015-06-21 14:00:00,25,0,25,4,1,5,2,2,1,2,1
Estrada De Telheiras Lisbon,BANCO COMERCIAL PORTUGUES,CP01,-9.15911,38.7602,Lumiar,12,190.831786536,568.679320832,56,0.0,35,2,9,2011-06-04 21:30:00,2011-06-06 16:00:00,70,0,70,3,1,5,1,2,1,2,1
Rua Abranches Ferrao 8C Lisbon,BANCO COMERCIAL PORTUGUES,CP52,-9.17203,38.75064,Carnide,10,766.671634953,1432.30269622,52,4.625,34,9,18,2010-01-05 15:00:00,2010-01-30 18:00:00,5000,0,5000,3,1,5,1,2,2,2,1
Avenida Dom Vasco Da Gama 50 a Lisbon,BANCO SANTANDER TOTTA,ST98,-9.22544,38.69942,Belém,6,192.282793594,1143.73647862,36,11.5766,50,15,9,2012-10-17 03:20:00,2012-10-17 03:27:00,50000,65000,65000,3,0,3,2,4,4,2,1
Rua Abranches Ferrao 17-B Lisbon,BARCLAYS BANK,BB07,-9.1707,38.75117,Lumiar,12,719.798770363,1371.94272444,58,20.0926,29,8,18,2015-10-20 21:30:00,2015-10-25 12:40:00,80,0,80,2,1,6,3,1,2,2,1
Estrada Da Luz 106 D Lisbon,BARCLAYS BANK,BB12,-9.17363,38.75224,Carnide,10,601.598397542,1245.62094044,40,33.1587,28,12,9,2011-04-16 11:00:00,2011-04-16 16:00:00,5320,0,5320,2,1,4,4,1,3,2,1
Rua Tomas Da Fonseca TR G Lisbon,BANCO BPI S.A.,BPI85,-9.16948,38.75579,Lumiar,12,307.263969169,861.071471196,52,8.0558,42,6,9,2010-07-27 14:00:00,2010-08-08 16:00:00,8300,0,8300,2,1,5,2,3,2,2,1
Rua Tomas Da Fonseca TR C Lisbon,BANCO BPI S.A.,BPI89,-9.17039,38.75606,Lumiar,12,228.669386176,875.522120066,52,8.0558,42,6,9,2011-10-20 16:30:00,2011-11-06 10:00:00,7400,0,7400,2,1,5,2,3,2,2,1
Rua Tomas Da Fonseca 4 D Lisbon,BANCO BPI S.A.,BPI95,-9.176,38.75579,Carnide,10,382.420057576,1000.02251065,50,16.7787,26,7,9,2012-06-06 23:30:00,2012-06-07 12:00:00,1000,0,1000,2,1,5,3,1,2,2,1
Estrada Laranjeiras 233 Lisbon,CAIXA GERAL DE DEPOSITOS,CGD02,-9.16982,38.74623,Campolide,9,479.892094139,1367.5635975,60,0.1181,27,8,9,2014-11-06 02:50:00,2014-11-06 05:00:00,12000,0,0,2,0,6,1,1,2,2,1
Rua Cipriano Dourado Lisbon,CAIXA GERAL DE DEPOSITOS,CGD42,-9.15724,38.76099,Lumiar,12,344.029237464,687.161655507,54,15.2558,25,11,9,2011-03-04 16:30:00,2011-03-11 10:00:00,60,0,60,2,1,5,2,1,3,2,1
Campo Grande 4 C Lisbon,BANCO COMERCIAL PORTUGUES,CP56,-9.15641,38.75619,Lumiar,12,383.844142149,1026.27901636,60,0.0677,41,8,9,2015-02-20 14:00:00,2015-03-16 07:00:00,15020,1000,16020,2,1,6,1,3,2,2,1
Avenida Dos Combatentes Lisbon,BANCO COMERCIAL PORTUGUES,CP60,-9.16132,38.74447,Avenidas Novas,5,321.959018046,711.724386144,38,1.0001,45,14,9,2012-04-13 19:00:00,2012-04-18 11:00:00,250,0,250,2,1,3,1,3,4,2,1
Estrada Benfica 158 Lisbon,MONTEPIO GERAL,MG98,-9.18781,38.747,Carnide,10,595.160921456,903.655573948,44,27.1257,33,13,18,2014-11-02 14:30:00,2014-12-05 18:30:00,15600,0,15600,2,1,4,4,2,3,2,1
Avenida Professor Egas Moniz Lisbon,BANCO SANTANDER TOTTA,ST22,-9.16161,38.75009,Avenidas Novas,5,724.470390644,1292.0561817,50,0.0039,45,6,9,2013-04-16 19:45:00,2013-04-17 10:30:00,850,0,850,2,1,5,1,3,2,2,1
Rua Soeiro Pereira Gomes LT 1 Lisbon,BANCO SANTANDER TOTTA,ST23,-9.16035,38.74478,Avenidas Novas,5,410.482156768,702.129039898,38,1.0001,50,18,9,2014-01-15 11:30:00,2014-01-15 11:45:00,900,0,900,2,1,3,1,4,4,2,1
Estrada De Benfica 424 Lisbon,BARCLAYS BANK,BB16,-9.18455,38.74664,Carnide,10,679.19634395,976.782633004,52,26.8861,28,12,9,2013-03-24 08:00:00,2013-03-24 08:00:00,0,300,300,1,0,5,4,1,3,2,1
Rua Fernando Namora 24 Lisbon,BANCO BIC PORTUGUES,BP14,-9.17572,38.76013,Carnide,10,418.698330801,861.365770799,50,33.9786,27,11,9,2013-02-07 20:45:00,2013-02-16 12:00:00,135,0,135,1,1,5,4,1,3,2,1
Rua Tomas Da Fonseca Lisbon,BANCO BIC PORTUGUES,BP15,-9.16948,38.75579,Lumiar,12,307.263969169,861.071471196,52,8.0558,42,6,9,2011-09-05 06:30:00,2011-09-16 10:00:00,5140,0,5140,1,1,5,2,3,2,2,1
Estrada Da Luz LT 6 Lisbon,BANCO BPI S.A.,BPI03,-9.17,38.74672,Avenidas Novas,5,521.551411491,1417.09739618,44,5.9173,34,13,9,2011-02-14 10:30:00,2011-02-17 12:00:00,15,0,15,1,1,4,1,2,3,2,1
Avenida Marechal Craveiro Lopes Lisbon,BANCO BPI S.A.,BPI04,-9.14026,38.76319,Lumiar,12,640.774376494,932.495412391,50,0.1558,35,5,9,2012-11-26 18:00:00,2012-11-30 10:00:00,150,0,150,1,1,5,1,2,2,2,1
Estrada Da Luz LT 6 Lisbon,BANCO BPI S.A.,BPI09,-9.17,38.74672,Avenidas Novas,5,521.551411491,1417.09739618,44,5.9173,34,13,9,2011-10-30 19:00:00,2011-12-08 10:00:00,5200,0,5200,1,1,4,1,2,3,2,1
Rua Francisco Stromp Lote 1 Lisbon,BANCO BPI S.A.,BPI13,-9.15716,38.76347,Lumiar,12,589.259456041,675.142107707,42,9.5645,33,9,9,2014-08-01 22:00:00,2014-08-01 22:01:00,200,0,0,1,0,4,2,2,2,2,1
Avenida Lusiada Lisbon,BANCO BPI S.A.,BPI24,-9.18017,38.75002,Carnide,10,676.242304325,851.816370282,60,4.0355,30,7,18,2011-01-01 06:30:00,2011-01-01 07:00:00,52000,41000,41000,1,0,6,1,1,2,2,1
Estrada De Benfica 519 Lisbon,BANCO BPI S.A.,BPI35,-9.19278,38.7494,Benfica,7,573.97253208,694.236804301,36,0.4369,42,7,28,2013-11-30 18:00:00,2013-11-30 15:00:00,250,0,3000,1,1,3,1,3,2,4,1
Avenida Lusiada Loja 705 Lisbon,BANCO BPI S.A.,BPI39,-9.18017,38.75002,Carnide,10,676.242304325,851.816370282,60,4.0355,30,7,18,2013-09-09 10:00:00,2013-09-09 19:30:00,580,0,580,1,1,6,1,1,2,2,1
Estrada De Benfica 765 a Lisbon,BANCO BPI S.A.,BPI54,-9.20605,38.75208,Benfica,7,691.513181142,928.835183288,34,30.7548,41,11,18,2015-08-25 11:30:00,2015-08-30 15:00:00,170,0,170,1,1,3,4,3,3,2,1
Rua Agostinho Neto Lote 6/7 Lisbon,BANCO BPI S.A.,BPI59,-9.15289,38.76316,Lumiar,12,488.686225002,516.169356149,48,14.9472,34,9,9,2010-04-19 15:00:00,2010-04-29 16:00:00,16300,0,16300,1,1,5,2,2,2,2,1
Rua Agostinho Neto Lote 6/7 Lisbon,BANCO BPI S.A.,BPI79,-9.15289,38.76316,Lumiar,12,488.686225002,516.169356149,48,14.9472,34,9,9,2010-07-10 12:15:00,2010-07-10 12:20:00,1000,0,0,1,0,5,2,2,2,2,1
Estrada De Benfica 519 Lisbon,BANCO BPI S.A.,BPI84,-9.19278,38.7494,Benfica,7,573.97253208,694.236804301,36,0.4369,42,7,28,2013-04-17 13:40:00,2013-04-17 14:00:00,900,0,900,1,1,3,1,3,2,4,1
Estrada Da Luz LT 6 Lisbon,BANCO BPI S.A.,BPI97,-9.17,38.74672,Avenidas Novas,5,521.551411491,1417.09739618,44,5.9173,34,13,9,2014-10-06 11:00:00,2014-10-07 12:00:00,630,0,630,1,1,4,1,2,3,2,1
Estrada Benfica 503 - 2 Lisbon,CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO,CCCAM06,-9.19071,38.74901,Carnide,10,471.569387466,735.955970924,40,7.6254,42,12,28,2013-04-15 20:00:00,2013-04-16 15:00:00,400,0,400,1,1,4,2,3,3,4,1
Estrada De Benfica Lisbon,CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO,CCCAM07,-9.20649,38.75268,Benfica,7,623.767591465,1004.54934072,34,23.572,41,11,18,2013-02-15 17:00:00,2013-02-21 10:30:00,65,0,65,1,1,3,3,3,3,2,1
Avenida Das Forcas Armadas Lisbon,CAIXA GERAL DE DEPOSITOS,CGD03,-9.15995,38.7459,Avenidas Novas,5,480.906574464,805.090434434,36,0.0,52,17,9,2011-07-25 16:30:00,2011-07-28 16:00:00,6100,0,6100,1,1,3,1,4,4,2,1
Avenida Lusiada Lisbon,CAIXA GERAL DE DEPOSITOS,CGD23,-9.18017,38.75002,Carnide,10,676.242304325,851.816370282,60,4.0355,30,7,18,2013-12-29 03:40:00,2013-12-29 04:00:00,50000,0,0,1,1,6,1,1,2,2,1
Campo Grande 380-B Lisbon,CAIXA GERAL DE DEPOSITOS,CGD34,-9.15345,38.75854,Lumiar,12,539.371940462,1003.95132166,52,4.3246,38,8,9,2012-03-04 13:00:00,2012-03-04 15:00:00,4900,0,4900,1,1,5,1,2,2,2,1
Rua D Aeroporto Lisboa Lisbon,CAIXA GERAL DE DEPOSITOS,CGD60,-9.1296,38.76306,Olivais,15,3.12890171071,824.805083253,58,0.5846,44,3,9,2013-11-29 03:00:00,2013-11-29 03:10:00,15000,0,0,1,0,6,1,3,1,1,1
Avenida Das Forcas Armadas Lisbon,CAIXA GERAL DE DEPOSITOS,CGD70,-9.15995,38.7459,Avenidas Novas,5,480.906574464,805.090434434,36,0.0,52,17,9,2014-08-19 12:20:00,2014-08-19 12:35:00,970,0,970,1,1,3,1,4,4,2,1
Rua a Do Loteamento Alto Dos Moinhos Lote 4 Lisbon,CAIXA GERAL DE DEPOSITOS,CGD77,-9.18009,38.74716,Carnide,10,855.035404897,1093.59339493,46,15.3719,29,10,9,2015-07-19 12:46:00,2015-07-19 15:00:00,220,0,220,1,1,4,2,1,3,2,1
Avenida Lusiada Lisbon,CAIXA GERAL DE DEPOSITOS,CGD93,-9.18017,38.75002,Carnide,10,676.242304325,851.816370282,60,4.0355,30,7,18,2012-08-17 11:00:00,2012-08-20 16:00:00,100,0,100,1,1,6,1,1,2,2,1
Rua Virgilio Correia 3 A-C Lisbon,BANCO COMERCIAL PORTUGUES,CP02,-9.17245,38.75116,Carnide,10,709.070272081,1378.5794295,52,33.1587,34,9,18,2014-02-14 17:05:00,2014-02-15 10:00:00,1000,0,1000,1,1,5,4,2,2,2,1
R. Duarte Pacheco Pereira 30D Lisbon,BANCO COMERCIAL PORTUGUES,CP15,-9.2182,38.69839,Belém,6,779.912055958,1043.97468259,26,1.7239,54,18,9,2013-01-08 10:30:00,2013-01-08 10:45:00,750,0,750,1,1,2,1,4,4,2,1
Rua Padre Francisco Alvares 1a Lisbon,BANCO COMERCIAL PORTUGUES,CP18,-9.17461,38.74335,Campolide,9,754.870554697,1071.96335972,44,28.4848,27,9,18,2015-08-15 11:00:00,2015-08-16 09:00:00,60000,0,60000,1,1,4,4,1,2,2,1
Rua Padre Francisco Alvares 1a Lisbon,BANCO COMERCIAL PORTUGUES,CP23,-9.17461,38.74335,Campolide,9,754.870554697,1071.96335972,44,28.4848,27,9,18,2013-10-02 12:00:00,2013-11-22 11:00:00,19550,600,20150,1,1,4,4,1,2,2,1
R. Duarte Pacheco Pereira 30D Lisbon,BANCO COMERCIAL PORTUGUES,CP74,-9.2182,38.69839,Belém,6,779.912055958,1043.97468259,26,1.7239,54,18,9,2013-04-22 18:00:00,2013-04-22 18:30:00,0,0,0,1,0,2,1,4,4,2,1
Estrada De Benfica 420 Lisbon,BANCO COMERCIAL PORTUGUES,CP87,-9.18415,38.74655,Carnide,10,701.611790872,995.959551775,52,26.8861,28,12,9,2014-09-03 12:00:00,2014-09-10 11:30:00,60,0,60,1,1,5,4,1,3,2,1
Rua Soeiro Pereira Gomes Lote 2 Lisbon,BANCO COMERCIAL PORTUGUES,CP93,-9.15928,38.74414,Avenidas Novas,5,497.083922415,601.363539878,34,19.1656,53,13,9,2010-09-15 11:30:00,2010-09-15 11:45:00,900,0,900,1,1,3,3,4,3,2,1
Avenida Jose Malhoa Lote 1792 Lisbon,BANCO INTERNACIONAL DO FUNCHAL,IF11,-9.16402,38.73728,Avenidas Novas,5,620.809463683,641.037562611,36,1.0968,25,12,18,2014-06-15 11:00:00,2015-09-01 00:00:00,32000,0,32000,1,1,3,1,1,3,2,1
Estrada De Benfica 165-A Lisbon,MONTEPIO GERAL,MG38,-9.18781,38.747,Carnide,10,595.160921456,903.655573948,44,27.1257,33,13,18,2010-02-25 23:10:00,2010-02-26 07:30:00,30000,15000,0,1,1,4,4,2,3,2,1
Estrada Benfica 158 Lisbon,MONTEPIO GERAL,MG41,-9.18781,38.747,Carnide,10,595.160921456,903.655573948,44,27.1257,33,13,18,2012-06-03 04:00:00,2012-06-03 04:15:00,13000,0,0,1,0,4,4,2,3,2,1
Rua Professor Simoes Raposo 15 Lisbon,MONTEPIO GERAL,MG45,-9.17439,38.762,Carnide,10,529.634091686,787.554070233,38,28.8444,25,10,9,2013-07-08 19:00:00,2013-12-15 10:00:00,75,0,75,1,1,3,4,1,3,2,1
Rua Antonio Albino Machado 28-2 Lisbon,MONTEPIO GERAL,MG73,-9.16848,38.75372,Lumiar,12,534.431734946,1040.16494844,60,28.1704,38,2,9,2010-06-01 10:15:00,2010-06-30 13:00:00,7690,0,7690,1,1,6,4,2,1,2,1
Rua Raul Carapinha Lisbon,MONTEPIO GERAL,MG91,-9.17272,38.74175,Campolide,9,532.578869217,867.187744303,50,24.8047,55,13,18,2014-10-05 16:30:00,2014-10-10 10:00:00,150,0,150,1,1,5,3,4,3,2,1
Avenida Professor Egas Moniz Lisbon,NOVO BANCO,NB03,-9.16161,38.75009,Avenidas Novas,5,724.470390644,1292.0561817,50,0.0039,45,6,9,2012-12-07 10:45:00,2012-12-07 11:00:00,1000,0,1000,1,1,5,1,3,2,2,1
Rua Professor Reinaldo Dos Santos Lote 1 Lisbon,NOVO BANCO,NB15,-9.18873,38.74751,Carnide,10,550.331568192,853.583819623,44,17.0117,30,13,18,2011-06-25 18:15:00,2011-06-25 20:00:00,95,0,95,1,1,4,3,1,3,2,1
