address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
Rua Tomas Da Fonseca TR a Lisbon,BANCO BPI S.A.,BPI17,-9.17093,38.7561,Lumiar,12,195.3534404,898.5697185,52,8.0558,39,4,9,4,1,5,2,2,1,2,1
Estrada De Telheiras Lisbon,BANCO COMERCIAL PORTUGUES,CP01,-9.15911,38.7602,Lumiar,12,190.8317865,568.6793208,56,0,35,2,9,3,1,5,1,2,1,2,1
Rua Abranches Ferrao 8C Lisbon,BANCO COMERCIAL PORTUGUES,CP52,-9.17203,38.75064,Carnide,10,766.671635,1432.302696,52,4.625,34,9,18,3,1,5,1,2,2,2,1
Avenida Dom Vasco Da Gama 50 a Lisbon,BANCO SANTANDER TOTTA,ST98,-9.22544,38.69942,Belém,6,192.2827936,1143.736479,36,11.5766,50,15,9,3,0,3,2,4,4,2,1
Rua Abranches Ferrao 17-B Lisbon,BARCLAYS BANK,BB07,-9.1707,38.75117,Lumiar,12,719.7987704,1371.942724,58,20.0926,29,8,18,2,1,6,3,1,2,2,1
Estrada Da Luz 106 D Lisbon,BARCLAYS BANK,BB12,-9.17363,38.75224,Carnide,10,601.5983975,1245.62094,40,33.1587,28,12,9,2,1,4,4,1,3,2,1
Rua Tomas Da Fonseca TR G Lisbon,BANCO BPI S.A.,BPI85,-9.16948,38.75579,Lumiar,12,307.2639692,861.0714712,52,8.0558,42,6,9,2,1,5,2,3,2,2,1
Rua Tomas Da Fonseca TR C Lisbon,BANCO BPI S.A.,BPI89,-9.17039,38.75606,Lumiar,12,228.6693862,875.5221201,52,8.0558,42,6,9,2,1,5,2,3,2,2,1
Rua Tomas Da Fonseca 4 D Lisbon,BANCO BPI S.A.,BPI95,-9.176,38.75579,Carnide,10,382.4200576,1000.022511,50,16.7787,26,7,9,2,1,5,3,1,2,2,1
Estrada Laranjeiras 233 Lisbon,CAIXA GERAL DE DEPOSITOS,CGD02,-9.16982,38.74623,Campolide,9,479.8920941,1367.563598,60,0.1181,27,8,9,2,0,6,1,1,2,2,1
Rua Cipriano Dourado Lisbon,CAIXA GERAL DE DEPOSITOS,CGD42,-9.15724,38.76099,Lumiar,12,344.0292375,687.1616555,54,15.2558,25,11,9,2,1,5,2,1,3,2,1
Campo Grande 4 C Lisbon,BANCO COMERCIAL PORTUGUES,CP56,-9.15641,38.75619,Lumiar,12,383.8441421,1026.279016,60,0.0677,41,8,9,2,1,6,1,3,2,2,1
Avenida Dos Combatentes Lisbon,BANCO COMERCIAL PORTUGUES,CP60,-9.16132,38.74447,Avenidas Novas,5,321.959018,711.7243861,38,1.0001,45,14,9,2,1,3,1,3,4,2,1
Estrada Benfica 158 Lisbon,MONTEPIO GERAL,MG98,-9.18781,38.747,Carnide,10,595.1609215,903.6555739,44,27.1257,33,13,18,2,1,4,4,2,3,2,1
Avenida Professor Egas Moniz Lisbon,BANCO SANTANDER TOTTA,ST22,-9.16161,38.75009,Avenidas Novas,5,724.4703906,1292.056182,50,0.0039,45,6,9,2,1,5,1,3,2,2,1
Rua Soeiro Pereira Gomes LT 1 Lisbon,BANCO SANTANDER TOTTA,ST23,-9.16035,38.74478,Avenidas Novas,5,410.4821568,702.1290399,38,1.0001,50,18,9,2,1,3,1,4,4,2,1
