s.no,address,bank,atm_id,coord_x,coord_y,freguesia,parish,mway_dist,police_dis,income,density,age,unp_rate,com_dens,event_date,freq_attack,success_attack,n_income,n_density,n_age,n_unp_rate,n_com_dens,n_freq_attack
1,Calçada Cascão 36,Caixa ATM,CX3,-9.1252606,38.7141399,Santa Maria Maior,18,762.162777849,3300,66,20.16119206059002,22,2,-6,,0,0,,,,,,
2,Av. Gomes Pereira 2A,BBVA,BV1,-9.1976682,38.750468,Benfica,7,550.331568192,650,68,19.772491633942685,31,2,12,,0,0,,,,,,
3,floor 1 · Humberto Delgado Airport,ATM,A1,-9.1286704,38.7704011,Olivais,15,4388.97083492,950,70,19.184445016869457,51,3,30,,0,0,,,,,,
4,Floor G  Mercado Municipal de Benfica,Multibanco,M1,-9.2061391,38.75095,Benfica,7,550.331568192,1600,67,19.92441947793519,27,2,5,,0,0,,,,,,
5,Av. Dom João II 25,Multibanco,M2,-9.0983188,38.7660968,Parque das Nações,16,4388.97083492,650,70,19.136467802977087,52,3,32,,0,0,,,,,,
6,R. Luís Cristino da Silva 239A,Multibanco,M3,-9.1231879,38.7582143,Areeiro,3,372.998040256,1600,67,19.953801855897638,26,2,5,,0,0,,,,,,
7,R. Luz Soriano 67 3º Andar - Sala 42A,ATM Express,EX1,-9.1457974,38.7123899,Misericórdia,14,762.162777849,1000,68,19.793366754081863,31,2,11,,0,0,,,,,,
8,R. Áurea 223,Multibanco,M4,-9.139086,38.711761,Santa Maria Maior,18,762.162777849,1800,67,19.92130599112818,28,2,5,,0,0,,,,,,
9,R. Cozinha Económica 101,Multibanco,M5,-9.1788123,38.7033671,Estrela,11,756.638254279,220,68,19.66954135582711,34,2,17,,0,0,,,,,,
10,Escolas Gerais 42,Euronet Atm,ET6,-9.1285373,38.7137371,Santa Maria Maior,18,762.162777849,2800,67,20.08123003743607,24,2,-2,,0,0,,,,,,
11,Av. de Roma 15,Terminal de auto atendimento do Banco do Brasil,BB1,-9.1029762,38.767326,Alvalade,2,4388.97083492,800,70,19.16045640992327,52,3,31,,0,0,,,,,,
12,R. Tomás da Anunciação 48B,Multibanco,M6,-9.1655396,38.7167482,Campo de Ourique,8,762.162777849,350,68,19.689416123981733,33,2,16,,0,0,,,,,,
13,Alameda Santo António dos Capuchos,Multibanco,M7,-9.1414023,38.7223968,Arroios,4,2939.66162472,1000,69,19.43257714550513,43,3,22,,0,0,,,,,,
14,R. da Voz do Operário 17,Multibanco,M8,-9.1291596,38.7156734,São Vicente,20,762.162777849,2700,67,20.065237632805285,24,2,-1,,0,0,,,,,,
